"prolific_id","acc_total"
"545d37b5fdf99b7f9fca22cb","86%"
"55c2591cfdf99b4e1d73d685","65%"
"59875893b24ef30001419ddb","54%"
"59922ece7d29e70001730450","89%"
"5a98a5711ade740001b8eef0","86%"
"5aa18dc7dbdb470001ef2d72","66%"
"5aa8890a35237b0001131ea3","78%"
"5aacbb016be3fa00013a3251","37%"
"5b05a8f6b2cdec0001823d9c","95%"
"5b5f173d0b6e98000181c586","85%"
"5badf0aeae1d020001df2cc7","60%"
"5bc53ba2f8f76e00013cf1ee","81%"
"5be5efdfddf25500011bd882","84%"
"5bfb02443db90d0001f542bc","61%"
"5c07b16bfd9c08000170882a","84%"
"5c080c4737345100018a266c","84%"
"5c095f7316902000017f5ac3","93%"
"5c13b0bcb1c29000011c131c","79%"
"5c23396210677f0001dae38b","91%"
"5c37be1aa9872700014c6c80","67%"
"5c45cf748bb6fd00016455cb","63%"
"5c598b3704bbff000140a506","67%"
"5c612e1a6467ac0001b8122d","88%"
"5c61dea4c96fb30001016ad9","74%"
"5c6ff96f2d666100018c60f6","70%"
"5c79016954c5d600175fcbba","77%"
"5c864c76de8ae1000103cecf","93%"
"5c94dd61cb58ab0013b9d902","91%"
"5c9b0d631c8e140014d19fc5","78%"
"5d14f67aeccb8a0019bf7fdb","85%"
"5d262da76bd66700172661e1","77%"
"5d3c95ae98afa00015f636cb","63%"
"5d46d6a4b30ae500195788f0","91%"
"5d55d30631022a0016428e41","91%"
"5d604ab485c2de0016bad3a3","71%"
"5d6af10e8fabb6001a45d483","90%"
"5d7374ab99bf5b0018864719","86%"
"5d7676e5cac29f001978af7b","57%"
"5d78b90e37d53e001a06e5d8","64%"
"5d7e248487bade0001e6c172","91%"
"5d9db76a8d7922001729340e","71%"
"5daccba5ad1260001762c25b","84%"
"5db0c396ff30f700136bc805","93%"
"5db1db20830742000a4470b4","67%"
"5dbd6f66ecdd3f2b18dc2580","77%"
"5dc13c70444b6e0b1f51eec3","76%"
"5dcd5aa07e5deb02d76958d2","75%"
"5dd2759d98981d2840e20a09","78%"
"5de15e456247ef000dfc8b36","77%"
"5de9681e6f9b7e09ad24c326","83%"
"5dec0058da52232e71810e06","46%"
"5df3c9a0ef7f5e2a439e436e","95%"
"5df50a49a98a7a3924e4137e","54%"
"5dffc4c8265c80bee3e29c2d","89%"
"5e015e48946e97d428a04739","39%"
"5e0477f613ec50f00c452845","62%"
"5e095b09b6385323681f4097","68%"
"5e1f46d7ded49f273e668b53","80%"
"5e25529eab132b7bb83842f1","81%"
"5e316786814a08000dfb4bdb","93%"
"5e4167bcf0cb003996e25ca4","84%"
"5e42bca17e337314fd24894b","73%"
"5e45ae4754f56d099400d6df","74%"
"5e4ad10709a6b7000a37f918","74%"
"5e503fa37cbf4308d1131e52","76%"
"5e582888ad019803dba551c4","82%"
"5e5e449c85f6ea15d731714a","67%"
"5e601fc1a361d5000c494d70","73%"
"5e722b8cffc65d01103bbc8a","78%"
"5e77a0db24d7c931311dd356","78%"
"5e7bb30e3f9fe31d223a0f04","91%"
"5e7f717ffa7e820283155b82","55%"
"5e81f5cfb7838b90005982bd","67%"
"5e8208d95442a6028e919b7f","89%"
"5e8214099c77a703baa06067","91%"
"5e8233832ca9860790d4d2f5","87%"
"5e85eda5501bc3035b24d9eb","86%"
"5e889c2d3aa428000bbf212e","50%"
"5e89e89bf025be000c01eead","74%"
"5e8a38ffc5f477073ee6e9f3","85%"
"5e8b4b875ac5d50009845a7b","68%"
"5e8b811dcdbb58057efa41cd","86%"
"5e90f4e46e07c842cce01aa2","52%"
"5e916b5271c53949d696abba","74%"
"5e91bb3e4d246b4db5408d67","88%"
"5e9b09b6aff5bd0009133151","60%"
"5ea088cdb617dc06db511d08","82%"
"5ea6ff1a2180430a9ad065fa","69%"
"5ea95e9500721703bfe1f46b","88%"
"5eaecf00e002645a4e1f7417","59%"
"5eb170206e577a07e9954c65","86%"
"5eb29fb2f3a18001d2e58416","81%"
"5ebd50ddb6a8d902ad31d9ec","76%"
"5ebd5618c83ba403c47de464","89%"
"5ec06105afc3710d3ece8896","88%"
"5ec08b60b585e0347768bb09","50%"
"5ec251b67b846b0113ac8e5c","76%"
"5ec27310823652045f1e3597","81%"
"5ec3022338a19e143412435f","89%"
"5ec3b9e83f187802a6aa041e","84%"
"5ecbb2347a5125043b1d3588","83%"
"5ecd3478898cb206f41c86e0","77%"
"5ed416a5b45e9d0ca2e233f6","77%"
"5ed772653b309d023ca48655","88%"
"5eda126ec6a418029cb19e91","91%"
"5ede918b4280d611f9a38200","80%"
"5ede9653252ba51223688917","74%"
"5ee24067b1d0696a7834463e","69%"
"5ee4152d9776d110b4445fdf","69%"
"5ee77a7099ecf00464f49455","79%"
"5ee8ceb850ff321f9c977c5c","79%"
"5eea42003e537f10bc27959d","72%"
"5eeaa0ffaa6af11cf32ce057","54%"
"5eeb414cfe8e6a02516fc245","89%"
"5eeb78fa8931bf2d402dae9e","64%"
"5eec906e64e58301daaca6c0","92%"
"5eed15f46a9e0d11f19f405d","61%"
"5eed229c7c5a171282476bb8","82%"
"5eef09eb6db5543c11297022","70%"
"5ef5d56a65a4f102ee59634d","85%"
"5ef9a3f085fd347438975462","58%"
"5efa06a7540ce97e3ed866f8","77%"
"5efa131512ad19803bc3d2fd","78%"
"5efd2964d36f63162f263795","86%"
"5effb373e52eda0a74ec4015","79%"
"5f0094fc2e1a9e1b4ea12b2e","62%"
"5f01bf065d902430eb9e209b","87%"
"5f07c1e322eb5a4022095cbd","71%"
"5f09cb729bf14505753e5bd8","89%"
"5f0b062853f8960008793934","67%"
"5f1036d3e4b5530008812141","64%"
"5f10d1960878f0401ddc72ba","64%"
"5f1164d8aca7f8000cca2709","77%"
"5f1733f79af14006b505ed46","86%"
"5f1ddd17b44cb7301bc337ef","57%"
"5f1f19934d3c1c0c62cb319e","60%"
"5f207db04d3c1c3935e1b821","88%"
"5f22c8019c9a3b0008eb2f22","70%"
"5f2345de5a990d0f6226443c","81%"
"5f26d665a193a500095f564e","87%"
"5f2a942116fd782e845c42e9","76%"
"5f3244131f74f3194ba62f1b","77%"
"5f32b3927efd290120b866c7","91%"
"5f37f709b66267082f6f3992","92%"
"5f380897822a9e2bfd9c5963","50%"
"5f3ac193f436407465a3d08e","81%"
"5f3cf75f2982e903fb34b9f6","83%"
"5f3e8dbbf008950bf0646f39","80%"
