"session_id","max_homo"
1518,138
1520,115
1521,94
1522,115
1523,92
1524,97
1525,94
1526,99
1527,90
1528,115
1529,97
1530,109
1532,105
1533,90
1534,101
1535,97
1536,93
1537,90
1539,94
1540,93
1542,109
1543,133
1544,97
1545,94
1546,91
1547,108
1548,109
1549,111
1550,96
1551,99
1552,101
1553,92
1554,91
1555,136
1556,130
1557,92
1558,97
1559,104
1560,95
1561,125
1562,103
1563,116
1564,101
1565,91
1566,91
1567,128
1568,133
1569,94
1570,94
1571,104
1573,109
1574,93
1575,94
1576,105
1577,99
1578,119
1579,91
1580,94
1581,95
1582,92
1583,110
1584,105
1585,110
1588,108
1589,116
1590,92
1591,106
1592,104
1593,105
1594,100
1595,91
1596,114
1598,91
1599,108
1600,95
1601,121
1602,99
1603,93
1604,97
1605,91
1606,110
1607,92
1608,94
1609,101
1610,97
1612,98
1613,122
1614,104
1615,99
1616,106
1618,91
1619,92
1620,119
1621,109
1622,94
1623,128
1625,92
1626,93
1627,107
1628,95
1629,90
1630,98
1631,98
1632,114
1633,112
1635,91
1636,91
1637,105
1638,110
1639,101
1640,115
1641,97
1642,114
1643,90
1645,115
1646,92
1647,101
1648,98
1649,124
1650,90
1651,99
1653,101
1654,91
1655,107
1656,95
1657,99
1658,100
1659,99
1660,96
1663,98
1664,91
1666,103
1667,106
1668,106
1669,114
1671,111
1672,94
1673,97
1674,91
1675,135
1676,121
1677,97
1678,91
1679,120
1680,115
1681,141
1682,100
1683,94
1684,108
1685,103
1686,94
1687,93
1688,93
1689,91
1690,114
1691,97
1692,119
1693,100
1694,110
1695,92
1696,93
1697,128
1698,92
1699,101
1700,93
1701,110
1702,124
1703,99
1704,94
1705,91
1706,94
1707,102
1708,108
1709,110
1710,112
1711,94
1712,91
1713,106
1714,94
1715,93
1716,90
1717,101
1718,92
1719,110
1720,180
1721,132
1722,96
1723,106
1724,100
1725,93
1726,95
1727,97
1728,95
1729,111
1730,90
1732,103
1735,96
1736,93
1737,93
1738,107
1740,98
1741,102
1742,95
1743,97
1746,106
1747,104
1748,98
1749,90
1750,110
1754,95
1755,92
1756,107
1758,104
1759,118
1760,100
1761,91
1765,125
1766,105
1767,106
1768,137
1769,96
1770,92
1771,102
1772,91
1773,93
1774,101
1776,114
1777,92
1778,99
1779,92
1780,104
1781,103
1782,127
1783,98
1784,102
1785,92
1787,114
1789,57
1790,96
1792,93
1793,106
1794,130
1795,95
1796,103
1797,97
1798,104
1799,106
1800,124
1804,99
1805,93
1806,100
1808,107
1809,92
1810,125
1811,90
1812,95
1813,103
1814,92
1815,109
1816,97
1817,96
1818,105
1819,104
1820,91
1821,93
1823,107
1824,111
1827,125
1828,112
1829,98
1830,92
1831,93
1832,91
1833,129
1834,96
1836,107
1837,123
1838,105
1839,138
1840,99
1841,95
1842,117
1843,96
1844,106
1845,109
1846,103
1847,101
1850,92
1851,90
1856,99
1857,94
1859,91
1860,121
1861,95
1862,98
1863,91
1865,99
1866,96
1867,94
1868,114
1869,93
1870,91
1872,91
