"prolific_id","n_hit","n_fa","n_miss","n_cr","sum"
"545d37b5fdf99b7f9fca22cb",85,20,5,70,180
"55c2591cfdf99b4e1d73d685",71,41,19,46,177
"59875893b24ef30001419ddb",78,71,11,19,179
"59922ece7d29e70001730450",85,13,5,76,179
"5a98a5711ade740001b8eef0",68,3,22,87,180
"5aa18dc7dbdb470001ef2d72",33,4,56,86,179
"5aa8890a35237b0001131ea3",67,17,23,73,180
"5aacbb016be3fa00013a3251",26,31,50,41,148
"5b05a8f6b2cdec0001823d9c",86,5,4,85,180
"5b5f173d0b6e98000181c586",75,11,14,78,178
"5badf0aeae1d020001df2cc7",53,32,36,55,176
"5bc53ba2f8f76e00013cf1ee",56,1,33,89,179
"5be5efdfddf25500011bd882",74,13,14,77,178
"5bfb02443db90d0001f542bc",68,49,21,41,179
"5c07b16bfd9c08000170882a",87,26,3,64,180
"5c080c4737345100018a266c",67,3,19,84,173
"5c095f7316902000017f5ac3",88,11,2,79,180
"5c13b0bcb1c29000011c131c",64,12,25,78,179
"5c23396210677f0001dae38b",76,3,14,87,180
"5c37be1aa9872700014c6c80",75,43,15,45,178
"5c45cf748bb6fd00016455cb",57,30,29,57,173
"5c598b3704bbff000140a506",60,28,30,61,179
"5c612e1a6467ac0001b8122d",70,2,20,88,180
"5c61dea4c96fb30001016ad9",73,30,17,60,180
"5c6ff96f2d666100018c60f6",76,39,14,50,179
"5c79016954c5d600175fcbba",73,23,17,66,179
"5c864c76de8ae1000103cecf",87,7,1,81,176
"5c94dd61cb58ab0013b9d902",76,1,14,88,179
"5c9b0d631c8e140014d19fc5",78,27,11,63,179
"5d14f67aeccb8a0019bf7fdb",70,7,19,83,179
"5d262da76bd66700172661e1",64,13,20,74,171
"5d3c95ae98afa00015f636cb",61,37,29,52,179
"5d46d6a4b30ae500195788f0",83,9,7,80,179
"5d55d30631022a0016428e41",82,9,7,81,179
"5d604ab485c2de0016bad3a3",65,22,23,63,173
"5d6af10e8fabb6001a45d483",82,10,8,80,180
"5d7374ab99bf5b0018864719",75,11,15,79,180
"5d7676e5cac29f001978af7b",54,39,33,49,175
"5d78b90e37d53e001a06e5d8",53,5,14,62,134
"5d7e248487bade0001e6c172",79,4,11,84,178
"5d9db76a8d7922001729340e",77,40,13,50,180
"5daccba5ad1260001762c25b",76,15,14,75,180
"5db0c396ff30f700136bc805",80,3,10,87,180
"5db1db20830742000a4470b4",47,17,43,73,180
"5dbd6f66ecdd3f2b18dc2580",64,14,25,74,177
"5dc13c70444b6e0b1f51eec3",79,32,11,58,180
"5dcd5aa07e5deb02d76958d2",55,9,34,80,178
"5dd2759d98981d2840e20a09",74,22,15,66,177
"5de15e456247ef000dfc8b36",64,15,26,74,179
"5de9681e6f9b7e09ad24c326",71,12,19,78,180
"5dec0058da52232e71810e06",80,73,2,2,157
"5df3c9a0ef7f5e2a439e436e",85,3,5,86,179
"5df50a49a98a7a3924e4137e",52,44,37,45,178
"5dffc4c8265c80bee3e29c2d",74,3,15,87,179
"5e015e48946e97d428a04739",51,61,37,19,168
"5e0477f613ec50f00c452845",65,40,24,46,175
"5e095b09b6385323681f4097",59,5,17,63,144
"5e1f46d7ded49f273e668b53",65,11,25,79,180
"5e25529eab132b7bb83842f1",73,17,17,73,180
"5e316786814a08000dfb4bdb",83,6,7,84,180
"5e4167bcf0cb003996e25ca4",85,24,5,66,180
"5e42bca17e337314fd24894b",58,17,32,73,180
"5e45ae4754f56d099400d6df",50,6,40,84,180
"5e4ad10709a6b7000a37f918",62,14,22,71,169
"5e503fa37cbf4308d1131e52",81,33,8,56,178
"5e582888ad019803dba551c4",69,9,19,79,176
"5e5e449c85f6ea15d731714a",58,27,32,63,180
"5e601fc1a361d5000c494d70",72,31,17,59,179
"5e722b8cffc65d01103bbc8a",74,23,16,67,180
"5e77a0db24d7c931311dd356",74,23,14,66,177
"5e7bb30e3f9fe31d223a0f04",79,5,11,84,179
"5e7f717ffa7e820283155b82",49,40,39,50,178
"5e81f5cfb7838b90005982bd",66,26,22,54,168
"5e8208d95442a6028e919b7f",75,4,15,85,179
"5e8214099c77a703baa06067",80,7,10,83,180
"5e8233832ca9860790d4d2f5",76,10,14,80,180
"5e85eda5501bc3035b24d9eb",79,14,11,75,179
"5e889c2d3aa428000bbf212e",0,0,89,90,179
"5e89e89bf025be000c01eead",60,16,29,73,178
"5e8a38ffc5f477073ee6e9f3",76,13,14,77,180
"5e8b4b875ac5d50009845a7b",59,26,29,63,177
"5e8b811dcdbb58057efa41cd",72,7,18,83,180
"5e90f4e46e07c842cce01aa2",62,56,27,31,176
"5e916b5271c53949d696abba",67,22,23,67,179
"5e91bb3e4d246b4db5408d67",82,13,8,76,179
"5e9b09b6aff5bd0009133151",83,65,6,25,179
"5ea088cdb617dc06db511d08",64,6,26,84,180
"5ea6ff1a2180430a9ad065fa",62,27,27,63,179
"5ea95e9500721703bfe1f46b",78,10,12,80,180
"5eaecf00e002645a4e1f7417",56,37,29,50,172
"5eb170206e577a07e9954c65",81,16,9,74,180
"5eb29fb2f3a18001d2e58416",65,6,24,81,176
"5ebd50ddb6a8d902ad31d9ec",67,20,21,69,177
"5ebd5618c83ba403c47de464",88,17,2,72,179
"5ec06105afc3710d3ece8896",83,15,7,75,180
"5ec08b60b585e0347768bb09",0,0,90,90,180
"5ec251b67b846b0113ac8e5c",57,10,33,79,179
"5ec27310823652045f1e3597",82,26,7,64,179
"5ec3022338a19e143412435f",83,11,5,77,176
"5ec3b9e83f187802a6aa041e",69,7,21,83,180
"5ecbb2347a5125043b1d3588",70,9,20,80,179
"5ecd3478898cb206f41c86e0",76,22,10,63,171
"5ed416a5b45e9d0ca2e233f6",67,19,22,71,179
"5ed772653b309d023ca48655",81,12,8,78,179
"5eda126ec6a418029cb19e91",83,8,7,81,179
"5ede918b4280d611f9a38200",81,27,9,63,180
"5ede9653252ba51223688917",61,15,28,73,177
"5ee24067b1d0696a7834463e",64,18,19,61,162
"5ee4152d9776d110b4445fdf",83,47,6,42,178
"5ee77a7099ecf00464f49455",68,15,22,75,180
"5ee8ceb850ff321f9c977c5c",61,7,29,82,179
"5eea42003e537f10bc27959d",87,46,3,43,179
"5eeaa0ffaa6af11cf32ce057",55,48,34,42,179
"5eeb414cfe8e6a02516fc245",78,7,12,83,180
"5eeb78fa8931bf2d402dae9e",53,27,36,63,179
"5eec906e64e58301daaca6c0",81,5,9,85,180
"5eed15f46a9e0d11f19f405d",66,45,24,44,179
"5eed229c7c5a171282476bb8",79,20,11,69,179
"5eef09eb6db5543c11297022",63,27,27,63,180
"5ef5d56a65a4f102ee59634d",74,10,14,79,177
"5ef9a3f085fd347438975462",72,56,18,32,178
"5efa06a7540ce97e3ed866f8",70,21,20,69,180
"5efa131512ad19803bc3d2fd",58,7,32,82,179
