"prolific_id","n_hit","n_fa","n_miss","n_cr","acc_407","sum"
"545d37b5fdf99b7f9fca22cb",26,6,4,24,"83%",60
"55c2591cfdf99b4e1d73d685",24,17,6,13,"62%",60
"59875893b24ef30001419ddb",26,21,4,9,"58%",60
"59922ece7d29e70001730450",26,3,4,26,"88%",59
"5a98a5711ade740001b8eef0",19,1,11,29,"80%",60
"5aa18dc7dbdb470001ef2d72",7,1,22,29,"61%",59
"5aa8890a35237b0001131ea3",24,9,6,21,"75%",60
"5aacbb016be3fa00013a3251",9,6,16,18,"55%",49
"5b05a8f6b2cdec0001823d9c",27,2,3,28,"92%",60
"5b5f173d0b6e98000181c586",21,4,9,26,"78%",60
"5badf0aeae1d020001df2cc7",10,13,20,17,"45%",60
"5bc53ba2f8f76e00013cf1ee",9,0,20,30,"66%",59
"5be5efdfddf25500011bd882",23,4,7,26,"82%",60
"5bfb02443db90d0001f542bc",19,17,11,13,"53%",60
"5c07b16bfd9c08000170882a",27,13,3,17,"73%",60
"5c080c4737345100018a266c",18,0,12,29,"80%",59
"5c095f7316902000017f5ac3",28,5,2,25,"88%",60
"5c13b0bcb1c29000011c131c",19,8,11,22,"68%",60
"5c23396210677f0001dae38b",23,1,7,29,"87%",60
"5c37be1aa9872700014c6c80",24,16,6,13,"63%",59
"5c45cf748bb6fd00016455cb",16,10,14,19,"59%",59
"5c598b3704bbff000140a506",16,9,14,21,"62%",60
"5c612e1a6467ac0001b8122d",21,1,9,29,"83%",60
"5c61dea4c96fb30001016ad9",19,14,11,16,"58%",60
"5c6ff96f2d666100018c60f6",25,13,5,17,"70%",60
"5c79016954c5d600175fcbba",21,6,9,24,"75%",60
"5c864c76de8ae1000103cecf",29,1,0,29,"98%",59
"5c94dd61cb58ab0013b9d902",22,0,8,29,"86%",59
"5c9b0d631c8e140014d19fc5",22,9,8,21,"72%",60
"5d14f67aeccb8a0019bf7fdb",20,1,9,29,"83%",59
"5d262da76bd66700172661e1",19,5,10,24,"74%",58
"5d3c95ae98afa00015f636cb",19,7,11,23,"70%",60
"5d46d6a4b30ae500195788f0",24,2,6,28,"87%",60
"5d55d30631022a0016428e41",26,3,4,27,"88%",60
"5d604ab485c2de0016bad3a3",14,3,16,27,"68%",60
"5d6af10e8fabb6001a45d483",26,4,4,26,"87%",60
"5d7374ab99bf5b0018864719",23,6,7,24,"78%",60
"5d7676e5cac29f001978af7b",21,11,7,18,"68%",57
"5d78b90e37d53e001a06e5d8",16,3,6,20,"80%",45
"5d7e248487bade0001e6c172",25,2,5,27,"88%",59
"5d9db76a8d7922001729340e",25,16,5,14,"65%",60
"5daccba5ad1260001762c25b",26,9,4,21,"78%",60
"5db0c396ff30f700136bc805",24,2,6,28,"87%",60
"5db1db20830742000a4470b4",9,4,21,26,"58%",60
"5dbd6f66ecdd3f2b18dc2580",18,9,12,21,"65%",60
"5dc13c70444b6e0b1f51eec3",23,9,7,21,"73%",60
"5dcd5aa07e5deb02d76958d2",9,1,20,29,"64%",59
"5dd2759d98981d2840e20a09",20,6,9,23,"74%",58
"5de15e456247ef000dfc8b36",16,5,14,25,"68%",60
"5de9681e6f9b7e09ad24c326",22,5,8,25,"78%",60
"5dec0058da52232e71810e06",28,24,0,1,"55%",53
"5df3c9a0ef7f5e2a439e436e",28,0,2,30,"97%",60
"5df50a49a98a7a3924e4137e",12,17,18,13,"42%",60
"5dffc4c8265c80bee3e29c2d",20,1,10,29,"82%",60
"5e015e48946e97d428a04739",16,21,13,6,"39%",56
"5e0477f613ec50f00c452845",17,12,12,16,"58%",57
"5e095b09b6385323681f4097",14,2,12,20,"71%",48
"5e1f46d7ded49f273e668b53",18,5,12,25,"72%",60
"5e25529eab132b7bb83842f1",26,7,4,23,"82%",60
"5e316786814a08000dfb4bdb",23,2,7,28,"85%",60
"5e4167bcf0cb003996e25ca4",27,9,3,21,"80%",60
"5e42bca17e337314fd24894b",14,5,16,25,"65%",60
"5e45ae4754f56d099400d6df",12,2,18,28,"67%",60
"5e4ad10709a6b7000a37f918",19,6,9,22,"73%",56
"5e503fa37cbf4308d1131e52",27,14,2,16,"73%",59
"5e582888ad019803dba551c4",20,4,9,25,"78%",58
"5e5e449c85f6ea15d731714a",17,4,13,26,"72%",60
"5e601fc1a361d5000c494d70",23,8,7,22,"75%",60
"5e722b8cffc65d01103bbc8a",23,4,7,26,"82%",60
"5e77a0db24d7c931311dd356",21,12,8,18,"66%",59
"5e7bb30e3f9fe31d223a0f04",22,2,8,28,"83%",60
"5e7f717ffa7e820283155b82",16,15,13,15,"53%",59
"5e81f5cfb7838b90005982bd",17,7,12,20,"66%",56
"5e8208d95442a6028e919b7f",21,1,9,29,"83%",60
"5e8214099c77a703baa06067",25,4,5,26,"85%",60
"5e8233832ca9860790d4d2f5",21,5,9,25,"77%",60
"5e85eda5501bc3035b24d9eb",24,2,6,28,"87%",60
"5e889c2d3aa428000bbf212e",0,0,30,30,"50%",60
"5e89e89bf025be000c01eead",15,5,15,24,"66%",59
"5e8a38ffc5f477073ee6e9f3",24,5,6,25,"82%",60
"5e8b4b875ac5d50009845a7b",18,7,10,23,"71%",58
"5e8b811dcdbb58057efa41cd",19,3,11,27,"77%",60
"5e90f4e46e07c842cce01aa2",16,17,13,13,"49%",59
"5e916b5271c53949d696abba",22,10,8,20,"70%",60
"5e91bb3e4d246b4db5408d67",25,6,5,24,"82%",60
"5e9b09b6aff5bd0009133151",27,22,3,8,"58%",60
"5ea088cdb617dc06db511d08",17,3,13,27,"73%",60
"5ea6ff1a2180430a9ad065fa",17,5,12,25,"71%",59
