prolific_id,n_hit,n_fa,n_miss,n_cr,acc_407,sum,dprime,beta,aprime,bppd,c
545d37b5fdf99b7f9fca22cb,26,6,4,24,83%,60,1.864955271,0.792152656,0.900641026,-0.161290323,-0.124936593
55c2591cfdf99b4e1d73d685,24,17,6,13,62%,60,0.645111669,0.731345261,0.707532051,-0.210958904,-0.484985207
59875893b24ef30001419ddb,26,21,4,9,58%,60,0.551480574,0.649808228,0.686965812,-0.290102389,-0.781673941
59922ece7d29e70001730450,26,3,4,26,88%,59,2.2492304,1.163171665,0.932979664,0.109498681,0.067200972
5a98a5711ade740001b8eef0,19,1,11,29,80%,60,1.989988958,3.76121439,0.892014519,0.756302521,0.665703132
5aa18dc7dbdb470001ef2d72,7,1,22,29,61%,59,0.98620786,3.162902331,0.769281185,0.70072827,1.16759368
5aa8890a35237b0001131ea3,24,9,6,21,75%,60,1.313474696,0.820306822,0.834821429,-0.135135135,-0.150803694
5aacbb016be3fa00013a3251,9,6,16,18,55%,49,0.299242943,1.159215407,0.613055556,0.102656138,0.493723934
5b05a8f6b2cdec0001823d9c,27,2,3,28,92%,60,2.611977192,1.280821573,0.954695767,0.182481752,0.094756465
5b5f173d0b6e98000181c586,21,4,9,26,78%,60,1.563347883,1.538915572,0.865842491,0.290102389,0.275740287
5badf0aeae1d020001df2cc7,10,13,20,17,45%,60,-0.253557848,0.929293152,0.404807692,0.049881235,0.289208296
5bc53ba2f8f76e00013cf1ee,9,0,20,30,66%,59,1.664157692,8.83376147,0.827586207,1,1.309119275
5be5efdfddf25500011bd882,23,4,7,26,82%,60,1.757504441,1.368888741,0.889214047,0.21509434,0.178662008
5bfb02443db90d0001f542bc,19,17,11,13,53%,60,0.166861974,0.959805379,0.564777328,-0.027906977,-0.24586036
5c07b16bfd9c08000170882a,27,13,3,17,73%,60,1.373661504,0.486581929,0.835511983,-0.463576159,-0.524401379
5c080c4737345100018a266c,18,0,12,29,80%,59,2.373051457,9.339700961,0.9,1,0.941519506
5c095f7316902000017f5ac3,28,5,2,25,88%,60,2.325989621,0.5752189,0.935357143,-0.38121547,-0.237750251
5c13b0bcb1c29000011c131c,19,8,11,22,68%,60,0.929470123,1.134158409,0.769736842,0.085714286,0.135443715
5c23396210677f0001dae38b,23,1,7,29,87%,60,2.360787823,3.10773798,0.928785607,0.694736842,0.480303699
5c37be1aa9872700014c6c80,24,16,6,13,63%,59,0.681879695,0.727482103,0.716047745,-0.214385801,-0.466601194
5c45cf748bb6fd00016455cb,16,10,14,19,59%,59,0.466267757,1.07353796,0.660291894,0.048371658,0.152186588
5c598b3704bbff000140a506,16,9,14,21,62%,60,0.586880945,1.132817848,0.692708333,0.084745763,0.212493182
5c612e1a6467ac0001b8122d,21,1,9,29,83%,60,2.166631265,3.493743668,0.910509031,0.733944954,0.577381978
5c61dea4c96fb30001016ad9,19,14,11,16,58%,60,0.410238637,0.950335533,0.643914474,-0.034642032,-0.124172028
5c6ff96f2d666100018c60f6,25,13,5,17,70%,60,1.087673932,0.660441256,0.796470588,-0.277456647,-0.381407594
5c79016954c5d600175fcbba,21,6,9,24,75%,60,1.313474696,1.219056058,0.834821429,0.135135135,0.150803694
5c864c76de8ae1000103cecf,29,1,0,29,98%,59,3.788742845,0.412578007,0.991666667,-1,-0.233673812
5c94dd61cb58ab0013b9d902,22,0,8,29,86%,59,2.72822401,8.03800548,0.933333333,1,0.763933229
5c9b0d631c8e140014d19fc5,22,9,8,21,72%,60,1.10611243,0.949212249,0.802489177,-0.035616438,-0.047122561
5d14f67aeccb8a0019bf7fdb,20,1,9,29,83%,59,2.137738039,3.54371103,0.907655073,0.738300007,0.591828591
5d262da76bd66700172661e1,19,5,10,24,74%,58,1.288055258,1.395466993,0.83004386,0.225806452,0.258707163
5d3c95ae98afa00015f636cb,19,7,11,23,70%,60,1.02938156,1.210273972,0.788329519,0.12972973,0.185399433
5d46d6a4b30ae500195788f0,24,2,6,28,87%,60,2.208286103,1.92510805,0.925595238,0.44,0.29660201
5d55d30631022a0016428e41,26,3,4,27,88%,60,2.268646359,1.190625992,0.934116809,0.124324324,0.076908951
5d604ab485c2de0016bad3a3,14,3,16,27,68%,60,1.13028484,2.075631419,0.798280423,0.468852459,0.646089711
5d6af10e8fabb6001a45d483,26,4,4,26,87%,60,2.114828457,1,0.923076923,-1.20E-16,0
5d7374ab99bf5b0018864719,23,6,7,24,78%,60,1.507631255,1.084368852,0.861865942,0.055737705,0.053725415
5d7676e5cac29f001978af7b,21,11,7,18,68%,57,0.944341421,0.847327053,0.772868774,-0.113336848,-0.175432872
5d78b90e37d53e001a06e5d8,16,3,6,20,80%,45,1.629581733,1.477838775,0.876753953,0.272399278,0.239681585
5d7e248487bade0001e6c172,25,2,5,27,88%,59,2.308238687,1.696042558,0.934557258,0.367702065,0.228874784
5d9db76a8d7922001729340e,25,16,5,14,65%,60,0.844297269,0.653925064,0.750714286,-0.283667622,-0.503095925
5daccba5ad1260001762c25b,26,9,4,21,78%,60,1.563347883,0.649808228,0.865842491,-0.290102389,-0.275740287
5db0c396ff30f700136bc805,24,2,6,28,87%,60,2.208286103,1.92510805,0.925595238,0.44,0.29660201
5db1db20830742000a4470b4,9,4,21,26,58%,60,0.551480574,1.538915572,0.686965812,0.290102389,0.781673941
5dbd6f66ecdd3f2b18dc2580,18,9,12,21,65%,60,0.750939877,1.102930145,0.732142857,0.066666667,0.130463716
5dc13c70444b6e0b1f51eec3,23,9,7,21,73%,60,1.206023867,0.889515166,0.81884058,-0.08,-0.097078279
5dcd5aa07e5deb02d76958d2,9,1,20,29,64%,59,1.183657182,3.54371103,0.794789052,0.738300007,1.06886902
