"session_id","n_hit","n_fa","n_miss","n_cr","acc_61","sum"
1518,8,2,22,28,"60%",60
1520,24,12,6,18,"70%",60
1521,23,4,7,26,"82%",60
1522,18,1,12,29,"78%",60
1523,30,1,0,29,"98%",60
1524,27,4,3,26,"88%",60
1525,27,1,3,29,"93%",60
1526,27,5,3,25,"87%",60
1527,27,2,3,28,"92%",60
1528,17,4,13,26,"72%",60
1529,25,2,5,28,"88%",60
1530,18,18,12,12,"50%",60
1532,24,1,6,29,"88%",60
1533,24,5,6,25,"82%",60
1534,24,8,6,22,"77%",60
1535,26,1,4,29,"92%",60
1536,18,12,12,18,"60%",60
1537,27,5,3,25,"87%",60
1539,21,6,9,24,"75%",60
1540,29,3,1,27,"93%",60
1542,18,4,12,26,"73%",60
1543,14,3,16,27,"68%",60
1544,29,2,1,28,"95%",60
1545,26,3,4,27,"88%",60
1546,26,4,4,26,"87%",60
1547,15,6,14,24,"66%",59
1548,21,3,9,27,"80%",60
1549,18,4,12,26,"73%",60
1550,26,0,4,30,"93%",60
1551,25,2,5,28,"88%",60
1552,14,11,16,19,"55%",60
1553,29,2,1,28,"95%",60
1554,26,4,4,26,"87%",60
1555,9,1,21,29,"63%",60
1556,23,19,7,11,"57%",60
1557,30,2,0,28,"97%",60
1558,26,1,4,29,"92%",60
1559,21,8,9,22,"72%",60
1560,29,4,1,26,"92%",60
1561,18,6,12,24,"70%",60
1562,25,11,5,19,"73%",60
1563,26,14,4,16,"70%",60
1564,18,15,12,15,"55%",60
1565,28,3,2,27,"92%",60
1566,30,1,0,29,"98%",60
1567,17,1,13,29,"77%",60
1568,15,5,15,25,"67%",60
1569,21,16,9,14,"58%",60
1570,26,1,4,29,"92%",60
1571,16,5,14,25,"68%",60
1573,16,8,14,22,"63%",60
1574,25,5,4,25,"85%",59
1575,26,0,2,27,"96%",55
1576,20,5,10,25,"75%",60
1577,24,5,6,25,"82%",60
1578,21,1,9,29,"83%",60
1579,29,2,1,28,"95%",60
1580,30,3,0,27,"95%",60
1581,26,7,4,23,"82%",60
1582,23,8,7,22,"75%",60
1583,22,1,8,29,"85%",60
1584,21,5,9,25,"77%",60
1585,22,4,8,26,"80%",60
1588,22,5,8,25,"78%",60
1589,20,17,10,13,"55%",60
1590,14,13,16,17,"52%",60
1591,27,0,3,30,"95%",60
1592,28,1,2,29,"95%",60
1593,21,0,9,30,"85%",60
1594,22,12,8,19,"67%",61
1595,29,2,1,28,"95%",60
1596,21,0,9,30,"85%",60
1598,29,2,1,28,"95%",60
1599,24,1,5,29,"90%",59
1600,27,1,3,29,"93%",60
1601,20,0,10,29,"83%",59
1602,25,2,5,28,"88%",60
1603,26,3,4,27,"88%",60
1604,27,0,3,30,"95%",60
1605,29,2,1,28,"95%",60
1606,21,14,9,16,"62%",60
1607,30,0,0,30,"100%",60
1608,28,2,2,28,"93%",60
1609,27,1,2,29,"95%",59
1610,28,1,2,29,"95%",60
1612,23,10,7,19,"71%",59
1613,23,17,7,13,"60%",60
1614,17,16,13,14,"52%",60
1615,23,2,6,28,"86%",59
1616,22,12,8,18,"67%",60
1618,24,2,6,28,"87%",60
1619,27,2,3,27,"92%",59
1620,27,16,3,13,"68%",59
1621,25,11,5,19,"73%",60
1622,22,4,6,26,"83%",58
1623,20,0,10,30,"83%",60
1625,29,7,1,23,"87%",60
1626,27,5,3,25,"87%",60
1627,24,14,6,15,"66%",59
1628,29,0,2,29,"97%",60
1629,17,9,13,21,"63%",60
1630,23,4,7,26,"82%",60
1631,24,5,6,25,"82%",60
1632,21,2,9,28,"82%",60
1633,21,4,9,26,"78%",60
1635,28,1,2,29,"95%",60
1636,29,1,1,29,"97%",60
1637,20,3,10,27,"78%",60
1638,9,12,20,18,"46%",59
1639,18,14,12,15,"56%",59
1640,20,6,10,24,"73%",60
1641,27,2,3,28,"92%",60
1642,19,20,11,10,"48%",60
1643,29,5,1,24,"90%",59
1645,26,14,4,16,"70%",60
1646,29,0,1,30,"98%",60
1647,24,4,6,26,"83%",60
1648,26,1,4,29,"92%",60
1649,27,18,3,12,"65%",60
1650,21,11,9,19,"67%",60
1651,21,13,9,17,"63%",60
1653,18,14,12,16,"57%",60
1654,24,4,6,26,"83%",60
1655,14,10,16,20,"57%",60
1656,27,0,3,30,"95%",60
1657,24,14,6,16,"67%",60
1658,19,10,11,20,"65%",60
1659,28,6,2,23,"86%",59
1660,23,3,6,27,"85%",59
1663,25,7,5,23,"80%",60
1664,25,4,5,26,"85%",60
1666,27,1,3,29,"93%",60
1667,23,1,7,29,"87%",60
1668,23,1,6,29,"88%",59
1669,19,3,10,27,"78%",59
1671,19,3,11,27,"77%",60
1672,25,3,5,27,"87%",60
1673,25,5,5,25,"83%",60
1674,28,3,2,27,"92%",60
1675,14,1,16,29,"72%",60
1676,21,17,9,13,"57%",60
1677,16,6,14,23,"66%",59
1678,30,1,0,29,"98%",60
1679,21,0,8,29,"86%",58
1680,19,2,11,28,"78%",60
1681,9,1,21,28,"63%",59
1682,20,11,10,19,"65%",60
1683,28,1,2,29,"95%",60
1684,24,0,6,29,"90%",59
1685,24,3,6,26,"85%",59
1686,30,2,0,27,"97%",59
1687,29,3,1,27,"93%",60
1688,19,9,11,21,"67%",60
1689,21,10,9,20,"68%",60
1690,20,19,10,11,"52%",60
1691,29,6,1,24,"88%",60
1692,12,12,17,18,"51%",59
1693,28,8,2,22,"83%",60
1694,21,2,9,28,"82%",60
