prolific_id,n_hit,n_fa,n_miss,n_cr,sum,dprime,beta,aprime,bppd,c
545d37b5fdf99b7f9fca22cb,85,20,5,70,180,2.305593484,0.399192338,0.923319328,-0.534246575,-0.398297417
55c2591cfdf99b4e1d73d685,71,41,19,46,177,0.862909931,0.732856005,0.750836818,-0.198767333,-0.360183642
59875893b24ef30001419ddb,78,71,11,19,179,0.345320082,0.716776152,0.628601289,-0.211827643,-0.964298649
59922ece7d29e70001730450,85,13,5,76,179,2.587527548,0.513836859,0.945070476,-0.407800444,-0.257330385
5a98a5711ade740001b8eef0,68,3,22,87,180,2.451985435,3.784890455,0.925752197,0.702902675,0.542832321
5aa18dc7dbdb470001ef2d72,33,4,56,86,179,1.32423114,3.700464106,0.805413863,0.691999333,0.988089018
5aa8890a35237b0001131ea3,67,17,23,73,180,1.518199241,1.182338249,0.857800041,0.107836089,0.110324153
5aacbb016be3fa00013a3251,26,31,50,41,148,-0.228608153,0.936529089,0.415030655,0.042760994,0.28684321
5b05a8f6b2cdec0001823d9c,86,5,4,85,180,3.201298746,0.853302601,0.97370041,-0.105331599,-0.049555214
5b5f173d0b6e98000181c586,75,11,14,78,178,2.12686028,1.169276231,0.918461538,0.100628931,0.07352855
5badf0aeae1d020001df2cc7,53,32,36,55,176,0.57265257,1.0274763,0.685627499,0.017640801,0.047333414
5bc53ba2f8f76e00013cf1ee,56,1,33,89,179,2.458458001,9.213002869,0.901847153,0.910044738,0.903255553
5be5efdfddf25500011bd882,74,13,14,77,178,2.026051238,1.063751356,0.910569454,0.039635902,0.030503511
5bfb02443db90d0001f542bc,68,49,21,41,179,0.599475903,0.78202308,0.692367044,-0.158168665,-0.4101433
5c07b16bfd9c08000170882a,87,26,3,64,180,2.318681859,0.243363335,0.913568606,-0.728831169,-0.609484109
5c080c4737345100018a266c,67,3,19,84,173,2.511622116,3.488871983,0.931729488,0.675837709,0.497518501
5c095f7316902000017f5ac3,88,11,2,79,180,3.063012439,0.304876283,0.962420886,-0.663157895,-0.387804241
5c13b0bcb1c29000011c131c,64,12,25,78,179,1.665212897,1.54088056,0.872617311,0.272206182,0.2596389
5c23396210677f0001dae38b,76,3,14,87,180,2.765996443,2.907215075,0.949901694,0.606037736,0.385826817
5c37be1aa9872700014c6c80,75,43,15,45,178,0.98103138,0.635351108,0.771927609,-0.285477025,-0.462347603
5c45cf748bb6fd00016455cb,57,30,29,57,173,0.809514813,0.991763604,0.741261484,-0.005389901,-0.010216617
5c598b3704bbff000140a506,60,28,30,61,179,0.902736026,1.023446051,0.760437772,0.015057346,0.025672415
5c612e1a6467ac0001b8122d,70,2,20,88,180,2.673809786,4.745713106,0.936038961,0.776649746,0.582405568
5c61dea4c96fb30001016ad9,73,30,17,60,180,1.295119371,0.75025624,0.826426941,-0.183821111,-0.221864088
5c6ff96f2d666100018c60f6,76,39,14,50,179,1.150958286,0.615481616,0.801046849,-0.304135451,-0.421692261
5c79016954c5d600175fcbba,73,23,17,66,179,1.509347447,0.840971343,0.856669402,-0.111446517,-0.11475005
5c864c76de8ae1000103cecf,87,7,1,81,176,3.500461529,0.27068852,0.976798638,-0.733944954,-0.373318341
5c94dd61cb58ab0013b9d902,76,1,14,88,179,3.125216638,5.853927801,0.957342758,0.844038954,0.565436915
5c9b0d631c8e140014d19fc5,78,27,11,63,179,1.655048507,0.599218483,0.870281825,-0.319428415,-0.309434436
5d14f67aeccb8a0019bf7fdb,70,7,19,83,179,2.172492434,1.930372618,0.917405841,0.401356648,0.302745842
5d262da76bd66700172661e1,64,13,20,74,171,1.724444429,1.317046966,0.880989133,0.176038735,0.159699019
5d3c95ae98afa00015f636cb,61,37,29,52,179,0.666481698,0.921408084,0.708782911,-0.053119223,-0.122812455
5d46d6a4b30ae500195788f0,83,9,7,80,179,2.639508067,0.83297277,0.950955033,-0.11787302,-0.069238025
5d55d30631022a0016428e41,82,9,7,81,179,2.639890371,0.846671674,0.951018163,-0.107926862,-0.063048942
