"session_id","response_id","prolific_id","ip","education","gender","age","country","f01","f02","f03","f04","f05","f06","f07","f08","f09","f10","f11","f12","f13","f14","f15","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","fw","de","du","trb","psi","witchcraft","superstition","spiritualism","elf","precognition","rpbs","n_hit","n_fa","n_miss","n_cr","acc_88","sum","dprime","beta","aprime","bppd","c"
1518,192,"5df76aff2d2185502504d15c","94.62.234.202","Master Degree","Female","38","Portugal",6,4,7,7,5,7,7,6,7,6,1,7,7,2,7,4,1,5,1,4,1,1,1,4,4,1,4,1,1,4,4,5,1,2,5,4,1,5,5,4,5,33,18,35,10,14,19,3,14,7,11,78,6,2,24,28,"57%",60,0.5932040190105,1.92510804952259,0.702380952380952,0.44,1.10414305162533
1520,183,"5e7d0465ac2c2737d3a6bd9c","195.162.115.162","Bachelors Degree","Female","22","UK",5,6,7,7,4,3,6,4,6,7,4,5,6,4,6,7,1,7,1,3,5,1,7,1,6,1,6,7,1,7,1,1,1,1,4,5,7,1,5,1,1,31,22,27,28,4,19,3,11,16,8,89,18,16,12,14,"53%",60,0.164058932556025,0.97361649736674,0.563492063492063,-0.0181818181818182,-0.162976756759308
1521,184,"5f1abcf92171f82034b6093a","89.65.11.57","high-school","female","21","Poland",5,4,6,6,6,5,2,3,5,3,1,7,5,3,7,4,1,1,1,2,2,2,1,1,2,1,2,2,1,2,1,1,1,4,7,1,2,2,2,1,1,21,17,30,9,5,6,3,9,11,5,48,22,4,8,26,"80%",60,1.65759300447623,1.46075751013819,0.877622377622378,0.257142857142857,0.228617726248268
1522,187,"5f1d54fa5eec2220763e0831","94.42.191.59","bachelor's degree","male","26","Poland",3,3,5,5,3,3,5,3,5,6,4,6,4,4,7,4,1,1,1,5,1,5,4,1,1,1,5,1,1,4,1,1,1,4,5,1,4,5,1,1,3,23,17,26,16,8,4,3,15,7,10,63,15,5,15,25,"67%",60,0.925244559854152,1.53424552840847,0.766666666666667,0.285714285714286,0.462622279927076
1523,185,"5dc0077fd819104566394afa","80.103.116.249","Studying a degree","Male","18","Spain",3,3,6,5,3,3,5,3,6,3,3,6,5,5,6,4,3,3,2,5,3,2,4,3,3,2,3,1,3,3,2,2,2,4,5,5,4,5,4,4,3,21,17,27,15,13,12,6,16,9,13,84,28,4,2,26,"90%",60,2.45815928961696,0.655746539220983,0.945054945054945,-0.3,-0.171665416322098
1524,186,"5f1068a369fc9e1951644f63","83.29.225.9","high school diploma","female","20","Poland",6,2,1,6,2,1,6,1,1,7,2,3,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,2,1,1,1,28,8,7,4,5,4,3,4,11,9,40,23,2,7,28,"85%",60,2.10083527373814,2.08752720552838,0.915760869565217,0.483870967741935,0.350327424261505
1525,188,"5dd956bd3269928d1466b921","94.63.156.66","completing my masters degree","male","22","Portugal",6,3,4,5,3,4,6,3,6,5,5,4,6,3,2,5,4,1,2,3,5,1,3,4,1,1,3,4,1,5,1,1,1,4,7,5,4,1,1,4,2,28,17,20,17,10,4,4,14,16,9,74,25,3,5,27,"87%",60,2.1364766907755,1.35730740734448,0.923703703703704,0.213592233009709,0.142993785533597
1526,189,"5c6bdd82e85e1e0001d4e220","80.181.56.136","university student","F","36","Italy",6,2,3,6,5,3,2,3,5,5,2,5,3,3,5,4,1,2,1,1,1,1,1,1,2,1,4,1,1,4,1,1,1,4,5,2,1,6,1,2,5,22,15,21,10,9,6,3,11,7,9,55,24,8,6,22,"77%",60,1.40771981810992,0.864197467642295,0.848484848484849,-0.1,-0.103681133065115
1527,190,"5ee00d770fc66934e2600d81","83.54.127.113","High School","Male","20","Spain",6,5,6,6,5,6,5,5,7,7,3,3,6,6,6,4,1,1,2,1,1,2,4,1,1,1,1,1,1,4,1,1,1,1,7,1,4,4,1,4,1,30,24,28,16,7,4,4,7,9,5,52,24,3,6,27,"85%",60,2.01877317304142,1.50302594104661,0.913194444444444,0.28,0.201845544400634
1528,191,"5f632ea32e85353d93872c67","80.98.231.221","highschool degree","male","21","Hungary",3,3,6,2,6,7,1,4,6,2,6,7,1,6,7,6,4,7,6,4,4,1,3,4,7,6,6,5,1,1,4,7,1,5,7,6,1,6,7,6,6,9,25,33,11,18,28,13,21,16,14,121,14,7,16,23,"62%",60,0.619142922126271,1.273522802908,0.701086956521739,0.163636363636364,0.390518751544431
